"ANO_ZAFRA","LOTE","TCH_ANTERIOR","RENDIMIENTO_BASCULA_ANTERIOR","REGION","TCH","RENDIMIENTO_BASCULA","AREA","TM","VARIEDAD","TAH","DIF","CATEGORIA","FINCA","CONDICION","UP"
"2019/2020","1360104",105.242736371875,111.954778337516,"REGION PRODUC. ORIENTAL CENTRO",125.146283404446,109.5600146561,44.53,5572.764,"SP 716161",13711.0286439476,18.9120387009342,"Alto, 2 a 10% incremento","MONTA?A LARGA","NO COSECHADO",NA
"2019/2020","2060109",106.008345323741,120.996466379246,"REGION PRODUC. CENTRAL SUR",104.236791627881,128.115823621999,21.06,2195.22683168317,"VARIAS",13354.3824111206,-1.67114550316779,"Igual, -2 a 2% diferencia","RETAZO","NO COSECHADO",NA
"2019/2020","2060110",132.166390532544,117.110867352651,"REGION PRODUC. CENTRAL SUR",96.1761965109502,121.732102871111,8.59,826.153528029062,"CP 722086",11707.7306474232,-27.2309729247937,"Muy baja, >10% reducción","RETAZO","NO COSECHADO",NA
"2019/2020","2080106",157.084126984127,108.526087027101,"REGION PRODUC. CENTRAL SUR",123.421339139902,118.942663069915,18.37,2267.25,"CG 9846",14680.0627569551,-21.4297831935791,"Muy baja, >10% reducción","MANANTIAL","NO COSECHADO",NA
"2019/2020","2460301",121.792442996988,128.152932436929,"REGION PRODUC. CENTRAL SUR",93.4987508516041,134.958520861976,7.2,673.19100613155,"SP 791287",12618.4531173749,-23.2310736603614,"Muy baja, >10% reducción","LA PAZ","NO COSECHADO",NA
"2019/2020","2460302",152.05291691308,128.170097800188,"REGION PRODUC. CENTRAL SUR",120.19295520321,119.919230357375,11.57,1390.63249170114,"SP 791287",14413.4466823474,-20.9532065261744,"Muy baja, >10% reducción","LA PAZ","NO COSECHADO",NA
"2019/2020","2460303",139.56574288208,129.389327198624,"REGION PRODUC. CENTRAL SUR",132.820477941174,117.719766884909,5.74,762.389543382336,"SP 791287",15635.5957007771,-4.83303767931489,"Baja, 2 a 10% reducción","LA PAZ","NO COSECHADO",NA
"2019/2020","2680101",118.543871473742,124.686300155877,"REGION PRODUC. ORIENTAL CENTRO",102.964093646532,126.747856877188,36.62,3770.54510933601,"CP 722086",13050.478205,-13.1426261294836,"Muy baja, >10% reducción","ROSITA","NO COSECHADO",NA
"2019/2020","2680102",137.542271617983,120.563671969582,"REGION PRODUC. ORIENTAL CENTRO",98.5336771947272,123.791363311407,16.51,1626.79101048495,"CP 722086",12197.6182320214,-28.3611677809132,"Muy baja, >10% reducción","ROSITA","NO COSECHADO",NA
"2019/2020","1360105",78.8671948364756,123.562187369472,"REGION PRODUC. ORIENTAL CENTRO",113.489842454395,118.124186012376,48.24,5474.75,"SP 716161",13405.8952605982,43.8999354417337,"Muy alto, >10% incremento","MONTA?A LARGA","NO COSECHADO",NA
"2019/2020","1390101",136.598514151434,135.170467204266,"REGION PRODUC. ORIENTAL CENTRO",114.876526477539,133.652368738253,41.18,4730.61536034505,"CP 722086",15353.5198761457,-15.9020673166429,"Muy baja, >10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390102",127.13441176935,130.805467410916,"REGION PRODUC. ORIENTAL CENTRO",101.314234551591,131.021355988124,31.04,3144.79384048137,"CP 722086",13274.3283918483,-20.3093535876055,"Muy baja, >10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390103",132.350410919188,129.960792008245,"REGION PRODUC. ORIENTAL CENTRO",111.365797318957,123.476627732398,30.05,3346.54220943466,"CP 722086",13751.0730976745,-15.855344501381,"Muy baja, >10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390104",110.30671403917,133.671195433862,"REGION PRODUC. ORIENTAL CENTRO",106.123448985019,120.907230170863,23.63,2507.69709951601,"CP 722086",12831.0922729576,-3.79239386341019,"Baja, 2 a 10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390105",100.094399101954,128.260154552139,"REGION PRODUC. ORIENTAL CENTRO",92.6111643817009,129.380024620058,19.77,1830.92271982623,"CP 722086",11982.0347277967,-7.47617727604436,"Baja, 2 a 10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390106",101.242200517785,133.67917289344,"REGION PRODUC. ORIENTAL CENTRO",110.374604901553,134.301428545371,22.78,2514.33349965737,"CP 722086",14823.4671134094,9.0203535058121,"Alto, 2 a 10% incremento","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","1390107",107.782314438273,112.920736788095,"REGION PRODUC. ORIENTAL CENTRO",93.1331464331996,111.2933595107,23.7,2207.25557046683,"CP 722086",10365.1007483527,-13.5914394503588,"Muy baja, >10% reducción","LAS DELICIAS","NO COSECHADO",NA
"2019/2020","2090101",106.063895142443,132.325745578195,"REGION PRODUC. CENTRAL SUR",110.7571378505,126.261376970038,40.52,4487.87922570224,"CP 722086",13984.3487342644,4.42492018773584,"Alto, 2 a 10% incremento","VASELIA","NO COSECHADO",NA
"2019/2020","2090101",106.063895142443,132.325745578195,"REGION PRODUC. CENTRAL SUR",110.7571378505,126.261376970038,40.52,4487.87922570224,"CP 722086",13984.3487342644,4.42492018773584,"Alto, 2 a 10% incremento","VASELIA","NO COSECHADO",NA
"2019/2020","2090102",127.350566124221,129.176909547034,"REGION PRODUC. CENTRAL SUR",142.574319494178,120.146710728762,44.84,6393.03248611892,"CP 722086",17129.835521617,11.9542094183601,"Alto, 2 a 10% incremento","VASELIA","NO COSECHADO",NA
"2019/2020","2460401",176.285703412243,123.777808387883,"REGION PRODUC. CENTRAL SUR",117.405938418787,111.999347266378,9.4,1103.61582113659,"SP 791287",13149.3884681006,-33.4001928992317,"Muy baja, >10% reducción","LA PAZ","NO COSECHADO",NA
